DIRECCION;MAPA;NOMBRE;REGION;CIUDAD;TIPO_LOCAL
Héroes de la Concepción # 2555; -20.23215026575979, -70.14194815555732; Banco Iquique (Mall las Américas); Regi&oacuten de Tarapacá; Iquique; Banco
Héroes de la Concepción # 2555; -20.23215026575979, -70.14194815555732; Homecenter Iquique; Regi&oacuten de Tarapacá; Iquique; HomeCenter
Tarapaca # 441; -20.21380695584716, -70.15087019999999; Banco Iquique Centro; Regi&oacuten de Tarapacá; Iquique; Banco
Av. Los Aromos # 2780; -20.254018319891728, -70.10599027864988; Homecenter Alto Hospicio; Regi&oacuten de Tarapacá; Iquique; HomeCenter
Arturo Prat # 580; -23.648612906953982, -70.3967146; Banco Antofagasta C.N.; Regi&oacuten de Antofagasta; Antofagasta; Banco
José M. Balmaceda # 2355; -23.646681256953332, -70.40113014999997; Banco Antofagasta Mall I; Regi&oacuten de Antofagasta; Antofagasta; Banco
José M. Balmaceda # 2355; -23.646681256953332, -70.40113014999997; Banco Antofagasta Mall II; Regi&oacuten de Antofagasta; Antofagasta; Banco
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Falabella Antofagasta; Regi&oacuten de Antofagasta; Antofagasta; Tienda Falabella
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Homecenter Antofagasta; Regi&oacuten de Antofagasta; Antofagasta; HomeCenter
Av. Rendil # 6851; -23.609614300169525, -70.3847899301636; Homecenter Antofagasta; Regi&oacuten de Antofagasta; Antofagasta; HomeCenter
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta I (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta II (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta III (Frente a Tienda Falabella); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta IV (Frente a Tienda Falabella); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta IX (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta V (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta VI (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta VII (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta VIII (Frente a Tienda Falabella); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda # 2355; -23.646710740958085, -70.40130181137692; Mall Plaza Antofagasta X (Zona de Servicios); Regi&oacuten de Antofagasta; Antofagasta; Mall Plaza
Balmaceda Interior Recinto Portuario (Balmaceda 355 Mall Plaza); -23.646532983745466, -70.40117829842528; Tottus Antofagasta Mall; Regi&oacuten de Antofagasta; Antofagasta; Sup.Tottus
Av. Condell # 2630; -23.64879873756269, -70.39635851087036; Tottus Antofagasta Plaza; Regi&oacuten de Antofagasta; Antofagasta; Sup.Tottus
Latorre # 1852; -22.46221175656557, -68.92573155000002; Banco Calama Centro; Regi&oacuten de Antofagasta; Calama; Banco
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Banco Calama Mall; Regi&oacuten de Antofagasta; Calama; Banco
Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Falabella Calama; Regi&oacuten de Antofagasta; Calama; Tienda Falabella
Balmaceda # 3398; -22.449704759697244, -68.92075643968816; Homecenter Calama; Regi&oacuten de Antofagasta; Calama; HomeCenter
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama I (Frente a Supermercado); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama II (Frente a Supermercado); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama III (Cercano Acceso Homecenter); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama IV (Costado Tienda Kodak); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama V (Costado Tienda Kodak); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama VI (Zona de Servicios); Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Balmaceda # 3242; -22.45181607668828, -68.92131005317992; Mall Plaza Calama VII; Regi&oacuten de Antofagasta; Calama; Mall Plaza
Av. Granaderos # 3657; -22.443632780338813, -68.92730129418032; Tottus Calama Granaderos; Regi&oacuten de Antofagasta; Calama; Sup.Tottus
Balmaceda # 2902; -22.452401095933144, -68.92158900291747; Tottus Calama Mall I; Regi&oacuten de Antofagasta; Calama; Sup.Tottus
Balmaceda # 2902; -22.452401095933144, -68.92158900291747; Tottus Calama Mall II; Regi&oacuten de Antofagasta; Calama; Sup.Tottus
Balmaceda # 2902; -22.452401095933144, -68.92158900291747; Tottus Calama Mall III; Regi&oacuten de Antofagasta; Calama; Sup.Tottus
Colipi # 484 H105; -27.36655840821982, -70.33130979999999; Banco Copiapó; Regi&oacuten de Atacama; Copiapó; Banco
Maipú # 0110; -27.36886310874857, -70.33756068971866; Banco Mall Plaza Copiapó; Regi&oacuten de Atacama; Copiapó; Banco
